"Company","Address","More Info URL","Has DEQ Permit","Has Onsite Storage of Chemicals","DEQ General Permit Type","DEQ General Permit Type Description"
"Pioneer Metal Finishing, LLC Pioneer Metal Finishing, LLC","19005 SW 125TH CT, TUALATIN, OR 97062","www.portlandcleanair.org/34-0107","Yes","Yes",26," Plating and Polishing"
"Copper Knot Metal Finishing LLC ","1184 N FREMONT LN, CORNELIUS, OR 97113","www.portlandcleanair.org/34-0156","Yes","No",26," Plating and Polishing"
"Anodizing Solutions, LLC ","12620 SW LEVETON DR, TUALATIN, OR 97062","www.portlandcleanair.org/34-0166","Yes","No",26," Plating and Polishing"
"Pacific Truck Colors, Inc. ","19225 SW 125TH CT, TUALATIN, OR 97062","www.portlandcleanair.org/34-0015","Yes","No",27," Surface Coating"
"Landmark Ford, Inc. ","12000 SW 66TH AVE, TIGARD, OR 97223","www.portlandcleanair.org/34-0101","Yes","No",27," Surface Coating"
"Russ Auto Sales & Service, Inc. ","11880 SW Pacific Hwy, Tigard, OR 97223","www.portlandcleanair.org/34-0105","Yes","No",27," Surface Coating"
"Evers Auto Body and Painting ","155 SW FREEMAN AVE, HILLSBORO, OR 97123","www.portlandcleanair.org/34-0112","Yes","No",27," Surface Coating"
"Oregon Collision Center ","1213 GALES CREEK RD, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-0114","Yes","No",27," Surface Coating"
"Kramer's Auto Body & Car Stereo ","2632 19TH AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-0115","Yes","No",27," Surface Coating"
"Strategic Printing and Manufacturing Solutions, Inc. ","9673 SW TUALATIN SHERWOOD RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0116","Yes","No",27," Surface Coating"
"Aero Air, LLC ","2050 NE 25TH AVE, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0117","Yes","No",27," Surface Coating"
"Beaverton Auto Body & Paint LLC ","4330 SW 142ND AVE, BEAVERTON, OR 97005","www.portlandcleanair.org/34-0121","Yes","No",27," Surface Coating"
"Kindred & Son, Inc. ","25599 SW 95TH AVE, WILSONVILLE, OR 97070","www.portlandcleanair.org/34-0123","Yes","No",27," Surface Coating"
"Ace Car Reconditioning, LLC ","15785 SW 72ND AVE, TIGARD, OR 97224","www.portlandcleanair.org/34-0124","Yes","No",27," Surface Coating"
"Meyer Sign Co. of Oregon ","15205 SW 74TH AVE, TIGARD, OR 97224","www.portlandcleanair.org/34-0125","Yes","No",27," Surface Coating"
"Reedville Body & Paint Co. ","21600 SW TUALATIN VALLEY HWY, ALOHA, OR 97006","www.portlandcleanair.org/34-0126","Yes","No",27," Surface Coating"
"Hurford Industries, Inc. Matrix Industries","16650 SW SHAW ST, BEAVERTON, OR 97007","www.portlandcleanair.org/34-0111","Yes","No",29," Metal Fabrication and Finishing: Small"
"Northwest Structural Services, Inc. ","18201 SW BOONES FERRY RD, PORTLAND, OR 97224","www.portlandcleanair.org/34-0120","Yes","No",29," Metal Fabrication and Finishing: Small"
"Stimson Lumber Company ","49800 SW SCOGGINS VALLEY RD, GASTON, OR 97119","www.portlandcleanair.org/34-2066","Yes","No",31," DEQ Title V Permit"
"DMH, Inc. ","3802 & 3804 24TH AVE, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2756","Yes","No",31," DEQ Title V Permit"
"Hillsboro Landfill, Inc. ","3205 SE MINTER BRIDGE ROAD, HILLSBORO, OR 97123","www.portlandcleanair.org/34-0004","Yes","No",32," DEQ Standard Permit"
"Fought & Company, Inc. ","14255 SW 72ND AVE, TIGARD, OR 97224","www.portlandcleanair.org/34-0007","Yes","Yes",32," DEQ Standard Permit"
"Oorvo-TriQuint Semiconductor Oorvo-TriQuint Semiconductor","2300 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0055","Yes","Yes",32," DEQ Standard Permit"
"Willbanks International, Inc dba CoorsTek, Inc.","555 NE 53RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0067","Yes","No",32," DEQ Standard Permit"
"Lakeside Lumber Company ","10600 SW TUALATIN SHERWOOD RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0081","Yes","No",32," DEQ Standard Permit"
"Baker Rock Crushing Co. dba Baker Rock Resources","21880 SW FARMINGTON RD, BEAVERTON, OR 97007","www.portlandcleanair.org/34-2021","Yes","Yes",32," DEQ Standard Permit"
"Clean Water Services Durham WWTP","16580 SW 85TH AVE, TIGARD, OR 97224","www.portlandcleanair.org/34-2623","Yes","No",32," DEQ Standard Permit"
"Tektronix, Inc. ","14150 SW KARL BRAUN DR, BEAVERTON, OR 97077","www.portlandcleanair.org/34-2638","Yes","No",32," DEQ Standard Permit"
"Intel Corporation Aloha and Ronler Campuses","3585 SW 198TH AVE, ALOHA, OR 97007","www.portlandcleanair.org/34-2681","Yes","No",32," DEQ Standard Permit"
"Allied Systems Company ","21433 SW OREGON ST, SHERWOOD, OR 97140","www.portlandcleanair.org/34-2684","Yes","Yes",32," DEQ Standard Permit"
"Clean Water Services Rock Creek WWTP","3235 SW RIVER ROAD, HILLSBORO, OR 97123","www.portlandcleanair.org/34-2753","Yes","No",32," DEQ Standard Permit"
"Oregon Sandblasting & Coating, Inc ","10000 SW HERMAN RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-2778","Yes","Yes",32," DEQ Standard Permit"
"Bimbo Bakeries USA ","10750 SW 5TH ST, BEAVERTON, OR 97005","www.portlandcleanair.org/34-2783","Yes","No",32," DEQ Standard Permit"
"Maxim Integrated Products, Inc. Maxim Fab North","14320 SW JENKINS RD, BEAVERTON, OR 97005","www.portlandcleanair.org/34-2804","Yes","Yes",32," DEQ Standard Permit"
"Jireh Semiconductor, Inc. ","3131 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-2813","Yes","No",32," DEQ Standard Permit"
"Summit Natural Energy Corporation ","535 N. 4TH AVE, CORNELIUS, OR 97113","www.portlandcleanair.org/34-9510","Yes","No",32," DEQ Standard Permit"
"Valmont Coatings Pacific States Galvaniz ","9700 SW HERMAN RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0005","Yes","Yes",33," DEQ Simple Permit"
"Plasti-Fab, Inc. ","9665 SW TUALATIN-SHERWOOD RD, TUALATIN, OR 97062","www.portlandcleanair.org/34-0006","Yes","No",33," DEQ Simple Permit"
"International Paper Company International Paper","5500, 5570, & 5800 SW WESTERN AVE, BEAVERTON, OR 97005","www.portlandcleanair.org/34-0009","Yes","No",33," DEQ Simple Permit"
"SolarWorld Industries America LP ","25300 NW EVERGREEN RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0010","Yes","Yes",33," DEQ Simple Permit"
"AGC Electronics America ","4375 NW 235TH AVE, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0016","Yes","Yes",33," DEQ Simple Permit"
"Dynic USA Corporation ","4750 NE DAWSON CREEK DR, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0017","Yes","Yes",33," DEQ Simple Permit"
"Finishing First, Inc. ","12970 SW HALL BLVD, TIGARD, OR 97223","www.portlandcleanair.org/34-0056","Yes","Yes",33," DEQ Simple Permit"
"International Paper Hillsboro Preprint Plant","23950 NW HUFFMAN ST, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0058","Yes","Yes",33," DEQ Simple Permit"
"Lam Research Corporation ","11155 SW LEVETON DR, TUALATIN, OR 97062","www.portlandcleanair.org/34-0063","Yes","Yes",33," DEQ Simple Permit"
"Cascade Coil Drapery, Inc. ","19505 SW 90TH CT, TUALATIN, OR 97062","www.portlandcleanair.org/34-0087","Yes","No",33," DEQ Simple Permit"
"West Oregon Wood Products, Inc. ","162 Commerce St, Banks, OR 97106","www.portlandcleanair.org/34-0089","Yes","No",33," DEQ Simple Permit"
"Ardent Mills, LLC ","21151 SW 115TH AVE, TUALATIN, OR 97062","www.portlandcleanair.org/34-0134","Yes","No",33," DEQ Simple Permit"
"Davis Tool, Inc. ","3740 NW ALOCLEK PL, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0144","Yes","No",33," DEQ Simple Permit"
"Portland General Electric Company Avery Regional Service Center","10800 SW AVERY ST, TUALATIN, OR 97062","www.portlandcleanair.org/34-0149","Yes","Yes",33," DEQ Simple Permit"
"QuantumClean QuantumClean","21421 NW JACOBSON RD, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0152","Yes","Yes",33," DEQ Simple Permit"
"T5@Portland.LLC ","3145 NE BROOKWOOD PKWY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0157","Yes","No",33," DEQ Simple Permit"
"Permapost Products Co. ","4066 SE TUALATIN VALLEY HWY, HILLSBORO, OR 97123","www.portlandcleanair.org/34-2580","Yes","No",33," DEQ Simple Permit"
"Viasystems Technologies Corp, L.L.C ","1521 POPLAR LN, FOREST GROVE, OR 97116","www.portlandcleanair.org/34-2678","Yes","Yes",33," DEQ Simple Permit"
"Bonita Packaging Products, Inc. Bonita Pioneer Packaging Products","7333 SW BONITA RD, TIGARD, OR 97224","www.portlandcleanair.org/34-2762","Yes","No",33," DEQ Simple Permit"
"Tokyo Ohka Kogyo America, Inc. TOK America Oregon Plant/HQ","4625 NW Brookwood Parkway, HILLSBORO, OR 97124","www.portlandcleanair.org/34-2790","Yes","No",33," DEQ Simple Permit"
"Agilyx Corporation ","7904 SW Huntziker, Tigard, OR 97223","www.portlandcleanair.org/34-9514","Yes","No",33," DEQ Simple Permit"
"Wilson sporting Goods Co. DeMarini Sports","6850 NE CAMPUS WAY, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0122","Yes","No",34," DEQ Basic Permit"
"Milgard Doors and Windows ","20789 SW 115TH AVE, TUALATIN, OR 97062","www.portlandcleanair.org/34-0140","Yes","No",34," DEQ Basic Permit"
"Linde LLC Linde - Hillsboro ASU Plant","4655 NW 235TH AVE, HILLSBORO, OR 97124","www.portlandcleanair.org/34-0150","Yes","Yes",34," DEQ Basic Permit"
"NW Natural ","20285 SW CIPOLE RD, SHERWOOD, OR 97140","www.portlandcleanair.org/34-0154","Yes","Yes",34," DEQ Basic Permit"
"Genentech, Inc. ","4625 NW Brookwood Parkway, HILLSBORO, OR 97124","www.portlandcleanair.org/34-9507","Yes","No",34," DEQ Basic Permit"
"Resers Fine Foods, Inc. ","15570 SW Jenkins Rd., BEAVERTON, OR 97006","www.portlandcleanair.org/34-9515","Yes","No",34," DEQ Basic Permit"
"American Metal Specialties, Inc. ","5226 SE INTERNATIONAL WAY, MILWAUKIE, OR 97222","www.portlandcleanair.org/03-0001","Yes","No",34," DEQ Basic Permit"
"Oldcastle Precast, Inc. Utility Vault Company, Inc.","28499 SW Boberg Rd, WILSONVILLE, OR 97070","www.portlandcleanair.org/03-0002","Yes","No",31," DEQ Title V Permit"
"S.R. Smith, LLC ","1017 SW BERG PKWY, CANBY, OR 97013","www.portlandcleanair.org/03-0003","Yes","No",31," DEQ Title V Permit"
"Fred Meyer, Inc. Clackamas Bakery","16253 SE 122ND AVE, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0004","Yes","No",32," DEQ Standard Permit"
"Glacier Northwest, Inc. Clackamas Readymix","11340 SE JENNIFER ST, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0007","Yes","No",31," DEQ Title V Permit"
"Atlas Industrial Coating, Inc. A.I.C. Inc.","17555 SW 63RD AVE, LAKE OSWEGO, OR 97035","www.portlandcleanair.org/03-0009","Yes","No",33," DEQ Simple Permit"
"Clackamas County Water Environment Services Kellogg Creek","11525 SE MCLOUGHLIN BLVD, MILWAUKIE, OR 97222","www.portlandcleanair.org/03-0010","Yes","No",33," DEQ Simple Permit"
"Clackamas County Tri-City Service District","15941 AGNES AVE, OREGON CITY, OR 97045","www.portlandcleanair.org/03-0011","Yes","No",33," DEQ Simple Permit"
"Hardchrome, Inc. ","1152 NW COMMERCE CT, Estacada, OR 97023","www.portlandcleanair.org/03-0013","Yes","No",31," DEQ Title V Permit"
"Wolf Steel Foundry, Inc. ","6160 S WHISKEY HILL RD, HUBBARD, OR 97032","www.portlandcleanair.org/03-0016","Yes","No",33," DEQ Simple Permit"
"Shaw's Fiberglass and Plastics, Inc. ","19402 SE FOSTER ROAD, DAMASCUS, OR 97089","www.portlandcleanair.org/03-0017","Yes","No",31," DEQ Title V Permit"
"PCC Structurals, Inc. Deer Creek Campus","13350 SE JOHNSON RD, MILWAUKIE, OR 97222","www.portlandcleanair.org/03-0020","Yes","No",32," DEQ Standard Permit"
"Bowers Forest Products Corporation ","17770 S SCHMIDT RD, BEAVER CREEK, OR 97004","www.portlandcleanair.org/03-0023","Yes","No",31," DEQ Title V Permit"
"Technical Finishes & Coatings Inc. ","9120 SE 64TH AVE, PORTLAND, OR 97206","www.portlandcleanair.org/03-0027","Yes","No",31," DEQ Title V Permit"
"Dravon Medical, Inc. ","11465 SE HWY 212, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0030","Yes","No",33," DEQ Simple Permit"
"Glacier Northwest, Inc Estacada Readymix","29400 SE RIVER MILL ROAD, ESTACADA, OR 97023","www.portlandcleanair.org/03-0034","Yes","No",31," DEQ Title V Permit"
"Excel Finishing, Inc. ","1765 RED SOILS COURT, OREGON CITY, OR 97045","www.portlandcleanair.org/03-0035","Yes","No",33," DEQ Simple Permit"
"J and D Fertilizer Ltd. ","9205 S KRAXBERGER RD, CANBY, OR 97013","www.portlandcleanair.org/03-0037","Yes","No",33," DEQ Simple Permit"
"North Clackamas County Water Commission Sunrise Water Auth.Filt.P","14275 S. CLACKAMAS RIVER DRIVE, OREGON CITY, OR 97045","www.portlandcleanair.org/03-0040","Yes","No",31," DEQ Title V Permit"
"McClure Industries, Inc. ","9051 SE 55TH AVE, PORTLAND, OR 97206","www.portlandcleanair.org/03-0041","Yes","No",33," DEQ Simple Permit"
"Sunrise Water Facility Mather Road site","10560 SE Mather Rd, Clackamas, OR 97015","www.portlandcleanair.org/03-0043","Yes","No",31," DEQ Title V Permit"
"Thermo Fluids, Inc. Clackamas Site","12533 SE CARPENTER DR, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0045","Yes","No",32," DEQ Standard Permit"
"Kaiser Permanente Kaiser Sunnyside Med.Ctr.","10180 SE SUNNYSIDE RD, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0048","Yes","No",31," DEQ Title V Permit"
"Xerox Corporation ","27063 SW Canyon Creek Rd, WILSONVILLE, OR 97070","www.portlandcleanair.org/03-0050","Yes","No",31," DEQ Title V Permit"
"Kaiser Permanente Sunnyside Medical Center","10180 SE SUNNYSIDE RD, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0051","Yes","No",34," DEQ Basic Permit"
"Pesznecker Brothers, Inc. ","15500 SE 102ND AVE, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0052","Yes","No",31," DEQ Title V Permit"
"Automotive Innovation Inc MAACO Collision Repair","15679 SE 135th Ave, Clackamas, OR 97015","www.portlandcleanair.org/03-0053","Yes","No",31," DEQ Title V Permit"
"Leader Technologies, Inc. LeadTek","27555 SW BOONES FERRY RD, WILSONVILLE, OR 97071","www.portlandcleanair.org/03-0054","Yes","No",31," DEQ Title V Permit"
"AGC Heat Transfer, Inc. Western Factory","9109 SE 64TH AVE, PORTLAND, OR 97206","www.portlandcleanair.org/03-0057","Yes","No",31," DEQ Title V Permit"
"Oregon Pacific Metal Fabrication, LLC ","14351 S UNION HALL RD, MULINO, OR 97042","www.portlandcleanair.org/03-0060","Yes","No",31," DEQ Title V Permit"
"Sunstone Circuits, LLC Sunstone Circuits, LLC","13626 S FREEMAN RD, MULINO, OR 97042","www.portlandcleanair.org/03-0061","Yes","No",31," DEQ Title V Permit"
"Champion Collision Inc. ","16639 CHAMPION WAY, SANDY, OR 97055","www.portlandcleanair.org/03-0062","Yes","No",31," DEQ Title V Permit"
"Wishart Welding & General Fabrication, Inc. ","12670 SE CAPPS RD, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0064","Yes","No",31," DEQ Title V Permit"
"Conveyco Mfg, Co. ","15151 SE INDUSTRIAL WAY, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0065","Yes","No",31," DEQ Title V Permit"
"Wright Manufacturing, LLC ","7474 SE JOHNSON CREEK BLVD, PORTLAND, OR 97206","www.portlandcleanair.org/03-0066","Yes","No",31," DEQ Title V Permit"
"J. V. Northwest, Inc. JVNW, Inc.","390 S REDWOOD ST, CANBY, OR 97013","www.portlandcleanair.org/03-0069","Yes","No",31," DEQ Title V Permit"
"G.T.E. Metal Fabricators, Inc. ","24530 S. CASS ROAD, CANBY, OR 97013","www.portlandcleanair.org/03-0070","Yes","No",31," DEQ Title V Permit"
"Dan Enterprises, Inc. MCI Welding","15942 S. PARK PLACE CT, OREGON CITY, OR 97045","www.portlandcleanair.org/03-0072","Yes","No",31," DEQ Title V Permit"
"Quality Tank & Construction Co., Inc. ","16911 SE 362ND DR, SANDY, OR 97055","www.portlandcleanair.org/03-0073","Yes","No",31," DEQ Title V Permit"
"Austen's Body Shop, Inc. ","801 NE 4TH AVE, CANBY, OR 97013","www.portlandcleanair.org/03-0077","Yes","No",31," DEQ Title V Permit"
"Swan Cleaners and Tailors ","19121 BEAVERCREEK RD, OREGON CITY, OR 97045","www.portlandcleanair.org/03-0080","Yes","No",31," DEQ Title V Permit"
"Columbia Body Manufacturing ","10037 SE MATHER, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0081","Yes","No",31," DEQ Title V Permit"
"Oregon Trail School District Sandy High School","37400 BELL ST, SANDY, OR 97055","www.portlandcleanair.org/03-0082","Yes","No",31," DEQ Title V Permit"
"Ulven Forging Inc. Skookum","6160 S WHISKEY HILL RD, HUBBARD, OR 97032","www.portlandcleanair.org/03-0083","Yes","No",31," DEQ Title V Permit"
"Canby Cleaners LLC ","329 SE 1ST AVE, CANBY, OR 97013","www.portlandcleanair.org/03-0085","Yes","No",31," DEQ Title V Permit"
"Clackamas County Service District No 1 ","13425 SE JOHNSON RD, MILWAUKIE, OR 97222","www.portlandcleanair.org/03-0087","Yes","No",31," DEQ Title V Permit"
"Wilbur Ellis Company ","12530 SE JENNIFER ST, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0088","Yes","No",31," DEQ Title V Permit"
"Steel Tech Enterprises Inc. ","1420 S TOWNSHIP RD, CANBY, OR 97013","www.portlandcleanair.org/03-0089","Yes","No",31," DEQ Title V Permit"
"US Crane & Hoist, Inc. ","29375 SW KINSMAN RD, WILSONVILLE, OR 97070","www.portlandcleanair.org/03-0091","Yes","No",31," DEQ Title V Permit"
"Clackamas River Water ","9100 SE MANGAN DR, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0092","Yes","No",31," DEQ Title V Permit"
"Dave's Killer Bread ","5209 SE INTERNATIONAL WAY, MILWAUKIE, OR 97222","www.portlandcleanair.org/03-0093","Yes","No",33," DEQ Simple Permit"
"PECO, Inc, PECO Inc,, an Astronics Company","11241 SE HWY 212, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0098","Yes","No",33," DEQ Simple Permit"
"Portland General Electric Company Carver Readiness Center","16782 SE 130TH AVE, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0099","Yes","No",33," DEQ Simple Permit"
"CarMax Auto Superstores West Coast, Inc. CarMax 7285","13750 SE JOHNSON RD, MILWAUKIE, OR 97222","www.portlandcleanair.org/03-0100","Yes","No",31," DEQ Title V Permit"
"Vigor Works LLC dba Oregon Iron Works","9700 SE LAWNFIELD RD, CLACKAMAS, OR 97015","www.portlandcleanair.org/03-0110","Yes","No",31," DEQ Title V Permit"
"Estacada Lumber Company RSG Forest Products","760 NW HWY 224, ESTACADA, OR 97023","www.portlandcleanair.org/03-1778","Yes","No",31," DEQ Title V Permit"
"Sanders Wood Products, Inc. RSG Forest Products, Inc.","28890 HWY 213, LIBERAL, OR 97038","www.portlandcleanair.org/03-1791","Yes","No",32," DEQ Standard Permit"
"Lake-Shore Concrete Co. ","100 SW FOOTHILLS RD, LAKE OSWEGO, OR 97034","www.portlandcleanair.org/Mar-24","Yes","No",31," DEQ Title V Permit"
"Estacada Rock Products, Inc. River Mill Road site","29400 RIVER MILL RD, ESTACADA, OR 97023","www.portlandcleanair.org/Mar-34","Yes","No",31," DEQ Title V Permit"
"Canby Sand & Gravel Co. ","24420 S HWY 99E, CANBY, OR 97013","www.portlandcleanair.org/Mar-32","Yes","No",31," DEQ Title V Permit"
"West Linn Paper Company ","4800 MILL ST, WEST LINN, OR 97068","www.portlandcleanair.org/Mar-45","Yes","No",31," DEQ Title V Permit"
"J & A Fuel LLC Wilsonville Concrete Products","30625 SW Industrial Way, WILSONVILLE, OR 97070","www.portlandcleanair.org/Mar-75","Yes","No",31," DEQ Title V Permit"
"Orchid Orthopedic Solutions Oregon, Inc ","13963 S FIR ST, OREGON CITY, OR 97045","www.portlandcleanair.org/Mar-05","Yes","No",33," DEQ Simple Permit"
"Interfor US Inc. Interfor US Inc - Molalla Division","15555 HWY 211 S, MOLALLA, OR 97038","www.portlandcleanair.org/Mar-33","Yes","No",31," DEQ Title V Permit"
"Providence Willamette Falls Medical Center ","1500 DIVISION ST, OREGON CITY, OR 97045","www.portlandcleanair.org/Mar-68","Yes","No",31," DEQ Title V Permit"
"Glacier Northwest, Inc. Sandy Plant","20200 SE FIRWOOD RD, SANDY, OR 97055","www.portlandcleanair.org/Mar-70","Yes","No",31," DEQ Title V Permit"
"Oregon Cutting Systems Blount International Inc.","4909 SE INTERNATIONAL WAY, MILWAUKIE, OR 97222","www.portlandcleanair.org/Mar-24","Yes","No",33," DEQ Simple Permit"
"Eagle Foundry Co. ","23123 SE EAGLE CREEK RD, EAGLE CREEK, OR 97022","www.portlandcleanair.org/Mar-31","Yes","No",32," DEQ Standard Permit"
"Johnson Controls Battery Group, Inc. ","800 NW 3RD AVE, CANBY, OR 97013","www.portlandcleanair.org/Mar-34","Yes","No",32," DEQ Standard Permit"
"WCP, Inc ","31200 SW Industrial Way, WILSONVILLE, OR 97070","www.portlandcleanair.org/Mar-57","Yes","No",31," DEQ Title V Permit"
"Willamette Egg Farms, LLC ","29300 S MOLALLA AVE, MOLALLA, OR 97038","www.portlandcleanair.org/Mar-61","Yes","No",31," DEQ Title V Permit"
"Eagle Creek Gravel, Inc. ","25375 SE TALON RD, EAGLE CREEK, OR 97022","www.portlandcleanair.org/Mar-68","Yes","No",31," DEQ Title V Permit"
"PCC Structurals, Inc. ","13340 SE 84TH, CLACKAMAS, OR 97015","www.portlandcleanair.org/Mar-74","Yes","No",32," DEQ Standard Permit"
"Georgia Pacific Gypsum, LLC Georgia Pacific Gypsum Firedoor","505 NE 3RD ST, CANBY, OR 97013","www.portlandcleanair.org/Mar-19","Yes","No",33," DEQ Simple Permit"
"Carson Oil Co., Inc. ","9911 SE ELON ST, CLACKAMAS, OR 97015","www.portlandcleanair.org/Mar-24","Yes","No",31," DEQ Title V Permit"
"Northwest Pipeline LLC Oregon City Compressor Station","15124 S SPRINGWATER RD, OREGON CITY, OR 97045","www.portlandcleanair.org/Mar-29","Yes","No",31," DEQ Title V Permit"
"Consolidated Metco, Inc ","10448 HWY 212, CLACKAMAS, OR 97015","www.portlandcleanair.org/Mar-38","Yes","No",33," DEQ Simple Permit"
"Safeway, Inc. ","9450 SE MANGAN DR, CLACKAMAS, OR 97015","www.portlandcleanair.org/Mar-54","Yes","No",32," DEQ Standard Permit"
"Stutzman Environmental Products, Inc. ","410 INDUSTRIAL, MOLALLA, OR 97038","www.portlandcleanair.org/Mar-63","Yes","No",33," DEQ Simple Permit"
"Molalla Redi-Mix & Rock Products, Inc. ","32900 MOLALLA FOREST, MOLALLA, OR 97038","www.portlandcleanair.org/Mar-73","Yes","No",31," DEQ Title V Permit"
"Miles Fiberglass & Plastics, Inc. ","1516 MAIN ST, OREGON CITY, OR 97045","www.portlandcleanair.org/Mar-77","Yes","No",31," DEQ Title V Permit"
"Miles Fiberglass & Plastics, Inc. Miles Fiberglass & Composites","8855 SE OTTY RD, Happy Valley, OR 97086","www.portlandcleanair.org/Mar-78","Yes","No",31," DEQ Title V Permit"
"NW Natural Molalla Gate Station","10405 SOUTH BARNARDS ROAD, MOLALLA, OR 97038","www.portlandcleanair.org/Mar-07","Yes","No",33," DEQ Simple Permit"
"Privates with Dignity, Inc. Clackamas Facility","15484 SE 94TH AVE, CLACKAMAS, OR 97015","www.portlandcleanair.org/Mar-08","Yes","No",31," DEQ Title V Permit"
"Bob's Red Mill Natural Foods, Inc. ","13521 SE PHEASANT CT, PORTLAND, OR 97222","www.portlandcleanair.org/Mar-09","Yes","No",31," DEQ Title V Permit"
"Universal Recycling Technologies, LLC ","10151 SE JENNIFER ST, CLACKAMAS, OR 97015","www.portlandcleanair.org/Mar-11","Yes","No",33," DEQ Simple Permit"
"Ernie Graham Oil, Inc. ","601 SW 1ST AVE, CANBY, OR 97013","www.portlandcleanair.org/Mar-13","Yes","No",31," DEQ Title V Permit"
"Hobart Oil Company LLC Dixon Ave","112 DIXON AVE, MOLALLA, OR 97038","www.portlandcleanair.org/Mar-14","Yes","No",31," DEQ Title V Permit"
"AB Mauri Food, Inc. AB Mauri Fleischmann's","26994 SE 95TH AVENUE, WILSONVILLE, OR 97070","www.portlandcleanair.org/Mar-17","Yes","No",33," DEQ Simple Permit"
"Valet Cleaners ","15020 SE MCLOUGHLIN BLVD, MILWAUKIE, OR 97267","www.portlandcleanair.org/Mar-22","Yes","No",31," DEQ Title V Permit"
"Mt. Hood Cleaners ","38862 PROCTOR BLVD, SANDY, OR 97055","www.portlandcleanair.org/Mar-25","Yes","No",31," DEQ Title V Permit"
"Diana's Cleaner ","16066 BOONES FERRY RD, LAKE OSWEGO (OSWEGO), OR 97035","www.portlandcleanair.org/Mar-30","Yes","No",31," DEQ Title V Permit"
"Cash's Drapery Inc. ","2366 SE OCHOCO ST, MILWAUKIE, OR 97222","www.portlandcleanair.org/Mar-31","Yes","No",31," DEQ Title V Permit"
"Abe's Royal Cleaners ","1839 MOLALLA AVE STE D, OREGON CITY, OR 97045","www.portlandcleanair.org/Mar-32","Yes","No",31," DEQ Title V Permit"
"Canby Station Cleaners Canby Station Cleaners","106 N IVY ST, CANBY, OR 97206","www.portlandcleanair.org/Mar-33","Yes","No",31," DEQ Title V Permit"
"Bright Cleaners ","480 PORTLAND AVE STE A, GLADSTONE, OR 97027","www.portlandcleanair.org/Mar-64","Yes","No",31," DEQ Title V Permit"
"Promise Cleaners ","12300 SE SUNNYSIDE RD, CLACKAMAS, OR 97015","www.portlandcleanair.org/Mar-68","Yes","No",31," DEQ Title V Permit"
"Tomorrow Cleaners ","14626 SE MCLOUGHLIN BLVD, MILWAUKIE , OR 97267","www.portlandcleanair.org/Mar-69","Yes","No",31," DEQ Title V Permit"
"Chris & Jessie's Cleaners ","417 1ST ST, LAKE OSWEGO (OSWEGO), OR 97034","www.portlandcleanair.org/Mar-70","Yes","No",31," DEQ Title V Permit"
"Carousel Laundry and Cleaners, Inc. ","927 MOLALLA AVE, OREGON CITY, OR 97045","www.portlandcleanair.org/Mar-73","Yes","No",31," DEQ Title V Permit"
"Champion Enterprises, LLC Style Cleaners","29911 SW BOONES FERRY RD, WILSONVILLE, OR 97070","www.portlandcleanair.org/Mar-75","Yes","No",31," DEQ Title V Permit"
"Clackamas Community College ","19600 MOLALLA AVE, OREGON CITY, OR 97045","www.portlandcleanair.org/Mar-77","Yes","No",34," DEQ Basic Permit"
"Harmony Cleaners ","6335 SE HARMONY RD, MILWAUKIE, OR 97222","www.portlandcleanair.org/Mar-81","Yes","No",31," DEQ Title V Permit"
