"company_name_storage","company_id_storage","company_type_storage","naics_code_storage","naics_code_description_storage","chemical_name_storage","hazardous_ingredient_storage","average_amount_storage","maximum_amount_storage","storage_method_storage","hazardous_class_description_storage","in_storage","key","address"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","ARCHITECTURAL BLACK SOLUTION","STANNOUS SULFATE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Reactive Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","CADMIUM ANODES","CADMIUM","5,000-9,999","5,000-9,999","BOX","Poisonous Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","CADMIUM PLATING BATHS","SODIUM CYANIDE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Poisonous Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","ANODIZING ALUMINUM SOAK CLEANER","SODIUM TETRABORATE PENTAHYDRATE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Reactive Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","META-KLEEN HDS-40","SODIUM HYDROXIDE","200-499","500-999","PLASTIC OR NON-METALLIC DRUM","Reactive Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","CAUSTIC SODA BEADS","SODIUM HYDROXIDE","200-499","500-999","STEEL DRUM","Reactive Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","CAUSTIC SODA SOLUTION","SODIUM HYDROXIDE","500-999","500-999","TANK INSIDE BUILDING","Corrosive Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","CHROMATE BATHS","CHROMIUM TRIOXIDE","5,000-9,999","5,000-9,999","TANK INSIDE BUILDING","Poisonous Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","COPPER CYANIDE","COPPER CYANIDE","50-199","50-199","CAN","Poisonous Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","COPPER CYANIDE BATH SOLUTION","COPPER CYANIDE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Poisonous Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"EAST SIDE PLATING INC",4607,"METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","ACID COPPER BATH","COPPER (II) SULFATE PENTAHYDRATE","1,000-4,999","1,000-4,999","TANK INSIDE BUILDING","Reactive Material",1,"26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214"
"APEX ANODIZING",62225,"ANODIZING",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","IRIDITE 14-2","CHROMIUM TRIOXIDE","20-49","20-49","CAN","Poisonous Material",1,"26-0189","7116 SE 92ND AVE, PORTLAND, OR 97266"
"APEX ANODIZING",62225,"ANODIZING",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","NITRIC ACID","NITRIC ACID","200-499","200-499","TANK INSIDE BUILDING","Oxidizers",1,"26-0189","7116 SE 92ND AVE, PORTLAND, OR 97266"
"APEX ANODIZING",62225,"ANODIZING",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","SODIUM HYDROXIDE SOLN","SODIUM HYDROXIDE","200-499","500-999","TANK INSIDE BUILDING","Corrosive Material",1,"26-0189","7116 SE 92ND AVE, PORTLAND, OR 97266"
"APEX ANODIZING",62225,"ANODIZING",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","SULFURIC ACID","SULFURIC ACID","200-499","200-499","TANK INSIDE BUILDING","Reactive Material",1,"26-0189","7116 SE 92ND AVE, PORTLAND, OR 97266"
"APEX ANODIZING",62225,"ANODIZING",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI","CHROMIC ACID FLAKES","CHROMIUM TRIOXIDE","20-49","20-49","BAG","Poisonous Material",1,"26-0189","7116 SE 92ND AVE, PORTLAND, OR 97266"
"HORIZON AIR INDUSTRIES INC",18777,"AIRLINE",481111,"SCHEDULED PASSENGER AIR TRANS","JET A FUEL","KEROSENE","500-999","1,000-4,999","TANK WAGON","Flammable and Combustible Liquid",1,"26-0248","8070 NE AIRTRANS WAY, PORTLAND, OR 97218"
"HORIZON AIR INDUSTRIES INC",18777,"AIRLINE",481111,"SCHEDULED PASSENGER AIR TRANS","USED OIL","LUBRCATING OILS USED","500-999","500-999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-0248","8070 NE AIRTRANS WAY, PORTLAND, OR 97218"
"EVRAZ OREGON STEEL",17689,"CARBON STEEL PLATE COIL PIPE PRODUCTION",331111,"IRON & STEEL MILLS","FLUX","ZINC AMMONIUM CHLORIDE","10,000-49,999","50,000-99,999","BAG","Corrosive Material",1,"26-1865","14400 N RIVERGATE BLVD, PORTLAND, OR 97203"
"EVRAZ OREGON STEEL",17689,"CARBON STEEL PLATE COIL PIPE PRODUCTION",331111,"IRON & STEEL MILLS","STEEL SHOT","IRON","10,000-49,999","10,000-49,999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-1865","14400 N RIVERGATE BLVD, PORTLAND, OR 97203"
"EVRAZ OREGON STEEL",17689,"CARBON STEEL PLATE COIL PIPE PRODUCTION",331111,"IRON & STEEL MILLS","SYNTHETIC OIL","BUTYL BENZYL PHTHALATE","50,000-99,999","50,000-99,999","TOTEBIN","Combustible Material",1,"26-1865","14400 N RIVERGATE BLVD, PORTLAND, OR 97203"
"EVRAZ OREGON STEEL",17689,"CARBON STEEL PLATE COIL PIPE PRODUCTION",331111,"IRON & STEEL MILLS","USED OIL","LUBRCATING OILS USED","1,000-4,999","1,000-4,999","STEEL DRUM","Acute Health Hazard",1,"26-1865","14400 N RIVERGATE BLVD, PORTLAND, OR 97203"
"EVRAZ OREGON STEEL",17689,"CARBON STEEL PLATE COIL PIPE PRODUCTION",331111,"IRON & STEEL MILLS","WATER TREATMENT BIOCIDE","SODIUM HYPOCHLORITE","1,000-4,999","5,000-9,999","ABOVEGROUND TANK","Oxidizers",1,"26-1865","14400 N RIVERGATE BLVD, PORTLAND, OR 97203"
"EVRAZ OREGON STEEL",17689,"CARBON STEEL PLATE COIL PIPE PRODUCTION",331111,"IRON & STEEL MILLS","WATER TREATMENT CORROSION INHIBITOR","SODIUM HYDROXIDE","500-999","1,000-4,999","OTHER","Corrosive Material",1,"26-1865","14400 N RIVERGATE BLVD, PORTLAND, OR 97203"
"EVRAZ OREGON STEEL",17689,"CARBON STEEL PLATE COIL PIPE PRODUCTION",331111,"IRON & STEEL MILLS","WELDING WIRE","IRON","50,000-99,999","100,000-249,999","PLASTIC OR NON-METALLIC DRUM","Miscellaneous Hazardous Material",1,"26-1865","14400 N RIVERGATE BLVD, PORTLAND, OR 97203"
"EVRAZ OREGON STEEL",17689,"CARBON STEEL PLATE COIL PIPE PRODUCTION",331111,"IRON & STEEL MILLS","WASTE FLUX","ALUMINUM OXIDE","50,000-99,999","100,000-249,999","OTHER","Miscellaneous Hazardous Material",1,"26-1865","14400 N RIVERGATE BLVD, PORTLAND, OR 97203"
"EVRAZ OREGON STEEL",17689,"CARBON STEEL PLATE COIL PIPE PRODUCTION",331111,"IRON & STEEL MILLS","COATINGS-HIGH ZINC","ZINC","1,000-4,999","5,000-9,999","STEEL DRUM","Flammable and Combustible Liquid",1,"26-1865","14400 N RIVERGATE BLVD, PORTLAND, OR 97203"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","FERRO ZIRCONIUM SILICON","SILICON","1,000-4,999","10,000-49,999","STEEL DRUM","Poisonous Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","HOT TOPPING","ALUMINA","5,000-9,999","5,000-9,999","FIBER DRUM","Chronic Health Hazard",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","HYDRAULIC OIL","BASE LUBRICATING OILS","500-999","500-999","ABOVEGROUND TANK","Combustible Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","MAGNESITE","MAGNESIUM OXIDE","10,000-49,999","50,000-99,999","BAG","Miscellaneous Hazardous Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","MAGNETITE","IRON OXIDE","10,000-49,999","10,000-49,999","TANK INSIDE BUILDING","Chronic Health Hazard",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","MOLTEN METALS","MOLTEN ALLOYS","10,000-49,999","50,000-99,999","OTHER","Dangerous When Wet",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","MOLYBDENUM TRIOXIDE","MOLYBDENUM TRIOXIDE","1,000-4,999","5,000-9,999","OTHER","Miscellaneous Hazardous Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","NICKEL AND NICKEL ALLOYS","NICKEL","10,000-49,999","10,000-49,999","OTHER","Chronic Health Hazard",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","ALUMINUM ALLOY","ALUMINUM","10,000-49,999","10,000-49,999","OTHER","Miscellaneous Hazardous Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","PEBBLE QUICKLIME","CALCIUM OXIDE","100,000-249,999","1,000,000-2,499,999","SILO","Acute Health Hazard",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","REFRACTORY MATERIALS","CRISTOBALITE","10,000-49,999","50,000-99,999","BAG","Chronic Health Hazard",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","SULFURIC ACID","SULFURIC ACID","20-49","20-49","PLASTIC OR NON-METALLIC DRUM","Reactive Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","WELDING WIRE","IRON","5,000-9,999","10,000-49,999","BOX","Miscellaneous Hazardous Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","BENTONITE CLAY","BENTONITE","10,000-49,999","10,000-49,999","BAG","Miscellaneous Hazardous Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","BINDER PEPSET 2000","POLYMERIC MDI","200-499","500-999","STEEL DRUM","Combustible Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","ELECTROLYTIC MANGANESE","MANGANESE","5,000-9,999","10,000-49,999","OTHER","Combustible Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","ALMANDINE GARNET","ALMANDINE","1,000-4,999","10,000-49,999","BAG","Miscellaneous Hazardous Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","STEEL ALLOYS","IRON","50,000-99,999","500,000-749,999","STEEL DRUM","Reactive Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","CARBON RAISERS","PURIFIED CARBON","10,000-49,999","50,000-99,999","BAG","Chronic Health Hazard",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"ESCO CORPORATION",3102,"STEEL PRODUCT MFG & DISTRIBUTION",331513,"STEEL FOUNDRIES (EXC INVESTMENT)","CEREAL BINDER","CORN FLOUR","1,000-4,999","5,000-9,999","BAG","Miscellaneous Hazardous Material",1,"26-2068","2141 NW 25TH AVE, PORTLAND, OR 97210"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","GEAR OIL 50W","LUBRICANT BASE OIL","1,000-4,999","5,000-9,999","ABOVEGROUND TANK","Combustible Material",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","GEAR OIL 75W90","NONE AS PER 29CFR 1910.1200","500-999","1,000-4,999","ABOVEGROUND TANK","Combustible Material",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","GEAR OIL 80W/90","REFINED MINERAL OIL","5,000-9,999","5,000-9,999","ABOVEGROUND TANK","Combustible Material",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","REFRIGERANT 134A","1,1,1,2-TETRAFLUOROETHANE","5,000-9,999","10,000-49,999","ABOVEGROUND TANK","Non-flammable Gas",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","SULFURIC ACID","SULFURIC ACID","50-199","500-999","PLASTIC OR NON-METALLIC DRUM","Reactive Material",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","ULTRASORB","DIATOMACEOUS EARTH","500-999","1,000-4,999","BAG","Acute Health Hazard",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","USED OIL","LUBRCATING OILS USED","200-499","500-999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","WINDSHIELD WASHER FLUID","METHYL ALCOHOL","500-999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Flammable and Combustible Liquid",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","SYNTHETIC GEAR OIL 75W-90","","1,000-4,999","5,000-9,999","ABOVEGROUND TANK","Combustible Material",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","CALCIUM CHLORIDE","CALCIUM CHLORIDE","1,000-4,999","1,000-4,999","BAG","Acute Health Hazard",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","BLACK CHASSIS TOPCOAT","HEPTAN-2-ONE","500-999","500-999","STEEL DRUM","Flammable and Combustible Liquid",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","POLYPURGE 1268","ACETONE","1,000-4,999","10,000-49,999","STEEL DRUM","Flammable and Combustible Liquid",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","POWERCRON BLACK FEED","","200-499","500-999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","URETHANE HARDENER GXH3170","","1,000-4,999","1,000-4,999","STEEL DRUM","Flammable and Combustible Liquid",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","SPECTRATHIN REDUCER GXS61682/SS","ACETONE","200-499","1,000-4,999","STEEL DRUM","Flammable and Combustible Liquid",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","CAUSTIC SODA","SODIUM HYDROXIDE","200-499","500-999","STEEL DRUM","Corrosive Material",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"DAIMLER TRUCKS NORTH AMERICA LLC",6329,"TRUCK MFG PLANT",336211,"MOTOR VEHICLE BODY MFG","DISINFECTANT CLEANER","DIMETHYL BENZYL AMMONIUM CHLORIDES","200-499","500-999","PLASTIC BOTTLE, JUG, BUCKET","Acute Health Hazard",1,"26-2197","6936 N FATHOM ST, PORTLAND, OR 97217"
"SCHNITZER STEEL PRODUCTS",4297,"SCRAP METAL RECYCLING",423930,"RECYCLABLE MATERIAL WHSLE","HYDRAULIC OIL","BASE LUBRICATING OILS","1,000-4,999","1,000-4,999","ABOVEGROUND TANK","Combustible Material",1,"26-2492","12005 N BURGARD WAY, PORTLAND, OR 97203"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","ETHYL ACETATE","ETHYL ACETATE","200-499","500-999","STEEL DRUM","Flammable and Combustible Liquid",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","FOOD GRADE WAXES","PARAFFIN WAX","500-999","5,000-9,999","ABOVEGROUND TANK","Acute Health Hazard",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","INK WATER BASE","2-BUTOXYETHANOL","10,000-49,999","10,000-49,999","STEEL DRUM","Miscellaneous Hazardous Material",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","N PROPYL ALCOHOL BLEND","N PROPYL ALCOHOL","1,000-4,999","5,000-9,999","ABOVEGROUND TANK","Flammable and Combustible Liquid",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","N-PROPYL ACETATE","N-PROPYL ACETATE","200-499","500-999","STEEL DRUM","Flammable and Combustible Liquid",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","POLYETHYLENE RESIN","ETHYLENE HOMOPOLYMER","500,000-749,999","750,000-999,999","SILO","Combustible Material",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","AMMONIA REFRIGERATION OIL ISO 68","REFINED MINERAL OIL","200-499","500-999","ABOVEGROUND TANK","Combustible Material",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","AMMONIUM HYDROXIDE","AMMONIA","200-499","500-999","CAN","Corrosive Material",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","SL 112","VINYLIDENE CHLORIDE METHYL METHACRYLONIT","10,000-49,999","10,000-49,999","SILO","Miscellaneous Hazardous Material",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","ASAHI KASEI PVDC LATEX 814B","VINYLIDENE CHLORIDE-BASED COPOLYMER","5,000-9,999","10,000-49,999","TOTEBIN","Miscellaneous Hazardous Material",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","CLEANGRIP 2100","NONE LISTED ON MSDS","1,000-4,999","1,000-4,999","CARBOY","Miscellaneous Hazardous Material",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","MICHEMLUBE 156","NONE LISTED ON MSDS","500-999","500-999","CARBOY","Miscellaneous Hazardous Material",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"GRAPHIC PACAGING INTERNATIONAL, INC.",19180,"MFG PACKAGING MATERIAL",322221,"COATED & LAMINATED PACKAGING PAPER & PLAST","DARAN 8730","VINYLIDENE CHLORIDE METHYL METHACRYLATE","1,000-4,999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Miscellaneous Hazardous Material",1,"26-2777","3400 N MARINE DR, PORTLAND, OR 97217"
"ARCLIN SURFACES LLC",5585,"MFG OF PHENOLIC RESINS & SATURATED PAPERS",322222,"COATED & LAMINATED PAPER MFG","EMERSOL 132 STEARIC ACID PRISTERENE","STEARIC ACID","1,000-4,999","5,000-9,999","BAG","Miscellaneous Hazardous Material",1,"26-3009","2301 N COLUMBIA BLVD, PORTLAND, OR 97217"
"ARCLIN SURFACES LLC",5585,"MFG OF PHENOLIC RESINS & SATURATED PAPERS",322222,"COATED & LAMINATED PAPER MFG","FORMALDEHYDE","FORMALDEHYDE","5,000-9,999","10,000-49,999","ABOVEGROUND TANK","Flammable and Combustible Liquid",1,"26-3009","2301 N COLUMBIA BLVD, PORTLAND, OR 97217"
"ARCLIN SURFACES LLC",5585,"MFG OF PHENOLIC RESINS & SATURATED PAPERS",322222,"COATED & LAMINATED PAPER MFG","FORMIC ACID SOLUTION","FORMIC ACID","500-999","1,000-4,999","PLASTIC OR NON-METALLIC DRUM","Flammable and Combustible Liquid",1,"26-3009","2301 N COLUMBIA BLVD, PORTLAND, OR 97217"
"ARCLIN SURFACES LLC",5585,"MFG OF PHENOLIC RESINS & SATURATED PAPERS",322222,"COATED & LAMINATED PAPER MFG","GLUFIL WF-5","WALNUT HULL DUST","10,000-49,999","10,000-49,999","BAG","Combustible Material",1,"26-3009","2301 N COLUMBIA BLVD, PORTLAND, OR 97217"
"ARCLIN SURFACES LLC",5585,"MFG OF PHENOLIC RESINS & SATURATED PAPERS",322222,"COATED & LAMINATED PAPER MFG","HEXAMETHYLENETETRAMINE","HEXAMETHYLENETETRAMINE","10,000-49,999","10,000-49,999","BAG","Flammable Solids",1,"26-3009","2301 N COLUMBIA BLVD, PORTLAND, OR 97217"
"ARCLIN SURFACES LLC",5585,"MFG OF PHENOLIC RESINS & SATURATED PAPERS",322222,"COATED & LAMINATED PAPER MFG","MDO PRIMER","METHANOL","5,000-9,999","5,000-9,999","TOTEBIN","Flammable and Combustible Liquid",1,"26-3009","2301 N COLUMBIA BLVD, PORTLAND, OR 97217"
"ARCLIN SURFACES LLC",5585,"MFG OF PHENOLIC RESINS & SATURATED PAPERS",322222,"COATED & LAMINATED PAPER MFG","MDO PRIMER CATALYST","P-TOLUENESULFONIC ACID","200-499","1,000-4,999","TOTEBIN","Flammable and Combustible Liquid",1,"26-3009","2301 N COLUMBIA BLVD, PORTLAND, OR 97217"
