"","Source.Number","Source.Name","Site.Address","City,.State.Zip","Operating.Status","SIC.Codes","NAICS.Codes","X8","Permit.Number","DEQ.Permit.and.Review","addr","in_deq_permits","FacilityID","FacilityName","BusinessType","NAICS1","NAICSDesc1","NAICS2","NAICSDesc2","ChemicalID","ChemName","HazardousIngredient","AvgAmt","MaxAmt","UnitDesc","StorageType1","HazClass1Desc","HazClass2Desc","in_chem_storage_data","addr_id","key"
"283","26-0168","Northwest Copper Works, Inc. ","1303 N RIVER ST","PORTLAND, OR 97227",NA,"3441","238120, 332410","25","26-0168-25-01","www.portlandcleanair.org/26-0168","1303 N RIVER ST, PORTLAND, OR 97227",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,"26-0168"
"284","26-0178","Sulzer Pumps (US), Inc. ","2800 NW FRONT AVE","PORTLAND, OR 97210",NA,"3561","333911","25","26-0178-25-01","www.portlandcleanair.org/26-0178","2800 NW FRONT AVE, PORTLAND, OR 97210",1,6697,"SULZER PUMPS US INC","EQUIPMENT PUMP MFG",333911,"PUMP & PUMPING EQP MFG",0,"",14963,"HYDRAULIC OIL","BASE LUBRICATING OILS","200-499","500-999","GALLONS","STEEL DRUM","Combustible Material","",1,588,"26-0178"
"285","26-0178","Sulzer Pumps (US), Inc. ","2800 NW FRONT AVE","PORTLAND, OR 97210",NA,"3561","333911","25","26-0178-25-01","www.portlandcleanair.org/26-0178","2800 NW FRONT AVE, PORTLAND, OR 97210",1,6697,"SULZER PUMPS US INC","EQUIPMENT PUMP MFG",333911,"PUMP & PUMPING EQP MFG",0,"",16571,"LACQUER THINNER","VARIOUS","200-499","500-999","GALLONS","STEEL DRUM","Flammable and Combustible Liquid","Acute Health Hazard",1,588,"26-0178"
"286","26-0178","Sulzer Pumps (US), Inc. ","2800 NW FRONT AVE","PORTLAND, OR 97210",NA,"3561","333911","25","26-0178-25-01","www.portlandcleanair.org/26-0178","2800 NW FRONT AVE, PORTLAND, OR 97210",1,6697,"SULZER PUMPS US INC","EQUIPMENT PUMP MFG",333911,"PUMP & PUMPING EQP MFG",0,"",59029,"WASTE SHOP RAGS","TOLUENE","200-499","500-999","POUNDS","STEEL DRUM","Spontaneously Combustible Material","",1,588,"26-0178"
"287","26-0179","Rikar Enterprises Inc. Pioneer Trailer and Fabrication","7559 NE 33RD DRIVE","PORTLAND, OR 97211",NA,"3441","332312","25","26-0179-25-01","www.portlandcleanair.org/26-0179","7559 NE 33RD DRIVE, PORTLAND, OR 97211",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002,"26-0179"
"288","26-0184","American Metal Products Company AMPCO","1532 SE 3RD AVENUE","PORTLAND, OR 97214",NA,"3499","332999","25","26-0184-25-01","www.portlandcleanair.org/26-0184","1532 SE 3RD AVENUE, PORTLAND, OR 97214",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261,"26-0184"
"289","26-0187","CH Murphy/Clark-Ulman, Inc. ","5565 N DOLPHIN ST","PORTLAND, OR 97217",NA,"3443","238220","25","26-0187-25-01","www.portlandcleanair.org/26-0187","5565 N DOLPHIN ST, PORTLAND, OR 97217",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,862,"26-0187"
"290","26-0218","Transco Industries, Inc. ","5534 NE 122ND AVE","PORTLAND, OR 97230-1005",NA,"3441","332312","25","26-0218-25-01","www.portlandcleanair.org/26-0218","5534 NE 122ND AVE, PORTLAND, OR 97230",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,856,"26-0218"
"291","26-0251","The Lynch Company, Inc. ","4706 SE 18TH AVE","PORTLAND, OR 97202-5630",NA,"3441","332312","25","26-0251-25-01","www.portlandcleanair.org/26-0251","4706 SE 18TH AVE, PORTLAND, OR 97202",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,781,"26-0251"
"292","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",11435,"F006 FILTERCAKE","COPPER HYDROXIDE","10,000-49,999","10,000-49,999","POUNDS","OTHER","Chronic Health Hazard","",1,624,"26-0171"
"293","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",15052,"HYDROCHLORIC ACID BATHS","HYDROCHLORIC ACID","5,000-9,999","5,000-9,999","GALLONS","TANK INSIDE BUILDING","Corrosive Material","",1,624,"26-0171"
"294","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",1764,"ALKALINE CLEANER/ETCH","SODIUM HYDROXIDE","5,000-9,999","5,000-9,999","GALLONS","TANK INSIDE BUILDING","Corrosive Material","",1,624,"26-0171"
"295","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",22880,"POTASSIUM CHLORIDE","POTASSIUM CHLORIDE","1,000-4,999","1,000-4,999","POUNDS","BAG","Acute Health Hazard","",1,624,"26-0171"
"296","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",22888,"POTASSIUM CYANIDE","POTASSIUM CYANIDE","50-199","50-199","POUNDS","STEEL DRUM","Poisonous Material","Corrosive Material",1,624,"26-0171"
"297","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",26732,"SODIUM CYANIDE","SODIUM CYANIDE","50-199","50-199","POUNDS","STEEL DRUM","Poisonous Material","Reactive Material",1,624,"26-0171"
"298","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",28125,"SULFURIC ACID 93%","SULFURIC ACID","50-199","50-199","GALLONS","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard","Reactive Material",1,624,"26-0171"
"299","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",31633,"WASTE CHROMIUM PROCESS","CHROME COMPOUNDS","500-999","500-999","GALLONS","TANK INSIDE BUILDING","Miscellaneous Hazardous Material","",1,624,"26-0171"
"300","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",31677,"WASTE CYANIDE PROCESS","SODIUM CYANIDE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Poisonous Material","",1,624,"26-0171"
"301","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",31984,"WASTE PROCESS MIXED","ZINC/CHROME/NICKEL","10,000-49,999","10,000-49,999","GALLONS","TANK INSIDE BUILDING","Miscellaneous Hazardous Material","",1,624,"26-0171"
"302","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",33346,"ZINC ANODES","ZINC","1,000-4,999","1,000-4,999","POUNDS","BOX","Miscellaneous Hazardous Material","",1,624,"26-0171"
"303","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",33348,"ZINC BATHS","ZINC CHLORIDE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Corrosive Material","",1,624,"26-0171"
"304","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",33364,"ZINC CYANIDE","ZINC CYANIDE","50-199","50-199","POUNDS","STEEL DRUM","Poisonous Material","Corrosive Material",1,624,"26-0171"
"305","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",41719,"META-KLEEN 58","SODIUM HYDROXIDE","200-499","500-999","POUNDS","PLASTIC OR NON-METALLIC DRUM","Acute Health Hazard","Corrosive Material",1,624,"26-0171"
"306","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",4864,"BRASS CYANIDE BATH SOLUTION","COPPER CYANIDE","50-199","50-199","GALLONS","TANK INSIDE BUILDING","Poisonous Material","Reactive Material",1,624,"26-0171"
"307","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54358,"BOILER CHEMICAL CONDENSATE","MORPHOLINE","1,000-4,999","1,000-4,999","GALLONS","OTHER","Combustible Material","Corrosive Material",1,624,"26-0171"
"308","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54596,"ACID ETCH AX2050 BATH","AMMONIUM BIFLUORIDE","500-999","500-999","GALLONS","TANK INSIDE BUILDING","Reactive Material","Corrosive Material",1,624,"26-0171"
"309","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54598,"CLEAR/COLOR SEAL BATH","NICKEL ACETATE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Acute Health Hazard","Chronic Health Hazard",1,624,"26-0171"
"310","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54599,"NITRIC SOUR BATH","NITRIC ACID","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Oxidizers","Corrosive Material",1,624,"26-0171"
"311","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54600,"MAGNESIUM SOAK CLEANER BATH","PROPRIETARY","500-999","500-999","GALLONS","TANK INSIDE BUILDING","Corrosive Material","",1,624,"26-0171"
"312","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54601,"MAGNESIUM ACID ETCH BATH","ORGANIC ACID","500-999","500-999","GALLONS","TANK INSIDE BUILDING","Corrosive Material","",1,624,"26-0171"
"313","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54602,"DESMUT A-1714 BATH","PERSULFATE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Acute Health Hazard","Oxidizers",1,624,"26-0171"
"314","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54603,"PHOSPHORIC ACID BATH","PHOSPHORIC ACID","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Reactive Material","Corrosive Material",1,624,"26-0171"
"315","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54604,"ANODIZING DYE BATHS","SODIUM ACETATE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Acute Health Hazard","Chronic Health Hazard",1,624,"26-0171"
"316","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54605,"DIE-CAST ACID BATH","SODIUM BISULFATE","500-999","500-999","GALLONS","TANK INSIDE BUILDING","Reactive Material","Corrosive Material",1,624,"26-0171"
"317","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54606,"CAUSTIC ETCH AX-1897 BATH","NONE LISTED ON MSDS","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Miscellaneous Hazardous Material","",1,624,"26-0171"
"318","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54607,"ANODIZE BATH","SULFURIC ACID","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Corrosive Material","",1,624,"26-0171"
"319","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54608,"MACROME 8210","CHROMIC ACID","5-9","10-19","POUNDS","CAN","Poisonous Material","Oxidizers",1,624,"26-0171"
"320","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54609,"CHROMAX 4101 YL","CHROMIC ACID","10-19","10-19","GALLONS","PLASTIC BOTTLE, JUG, BUCKET","Poisonous Material","Corrosive Material",1,624,"26-0171"
"321","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54615,"SCRUBBER TOWER SOLUTION","SODIUM HYDROXIDE","500-999","500-999","GALLONS","TANK INSIDE BUILDING","Corrosive Material","",1,624,"26-0171"
"322","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54636,"DI RESIN CANISTERS","RESIN","500-999","500-999","POUNDS","OTHER","Acute Health Hazard","Corrosive Material",1,624,"26-0171"
"323","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",54639,"MACRO BRITE C-9","CHROMIC ACID","50-199","50-199","POUNDS","STEEL DRUM","Poisonous Material","Oxidizers",1,624,"26-0171"
"324","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",56398,"ARCHITECTURAL BLACK SOLUTION","STANNOUS SULFATE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Reactive Material","Corrosive Material",1,624,"26-0171"
"325","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",56399,"CADMIUM ANODES","CADMIUM","5,000-9,999","5,000-9,999","POUNDS","BOX","Poisonous Material","",1,624,"26-0171"
"326","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",56495,"CADMIUM PLATING BATHS","SODIUM CYANIDE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Poisonous Material","",1,624,"26-0171"
"327","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",57319,"ANODIZING ALUMINUM SOAK CLEANER","SODIUM TETRABORATE PENTAHYDRATE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Reactive Material","Oxidizers",1,624,"26-0171"
"328","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",57320,"META-KLEEN HDS-40","SODIUM HYDROXIDE","200-499","500-999","POUNDS","PLASTIC OR NON-METALLIC DRUM","Reactive Material","Corrosive Material",1,624,"26-0171"
"329","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",6074,"CAUSTIC SODA BEADS","SODIUM HYDROXIDE","200-499","500-999","POUNDS","STEEL DRUM","Reactive Material","Corrosive Material",1,624,"26-0171"
"330","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",6086,"CAUSTIC SODA SOLUTION","SODIUM HYDROXIDE","500-999","500-999","GALLONS","TANK INSIDE BUILDING","Corrosive Material","Acute Health Hazard",1,624,"26-0171"
"331","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",6998,"CHROMATE BATHS","CHROMIUM TRIOXIDE","5,000-9,999","5,000-9,999","GALLONS","TANK INSIDE BUILDING","Poisonous Material","Corrosive Material",1,624,"26-0171"
"332","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",8013,"COPPER CYANIDE","COPPER CYANIDE","50-199","50-199","POUNDS","CAN","Poisonous Material","",1,624,"26-0171"
"333","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",8014,"COPPER CYANIDE BATH SOLUTION","COPPER CYANIDE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Poisonous Material","Reactive Material",1,624,"26-0171"
"334","26-0171","East Side Plating, Inc. Plant #4","310 SE STEPHENS ST","PORTLAND, OR 97214",NA,"3471","332813","26","26-0171-26-01","www.portlandcleanair.org/26-0171","310 SE STEPHENS ST, PORTLAND, OR 97214",1,4607,"EAST SIDE PLATING INC","METAL FINISHING JOB SHOP",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",990,"ACID COPPER BATH","COPPER (II) SULFATE PENTAHYDRATE","1,000-4,999","1,000-4,999","GALLONS","TANK INSIDE BUILDING","Reactive Material","Corrosive Material",1,624,"26-0171"
"335","26-0189","Apex Anodizing, Inc. Apex Anodizing, Inc.","7116 SE 92ND AVE","PORTLAND, OR 97266-5510",NA,"3471","332813","26","26-0189-26-01","www.portlandcleanair.org/26-0189","7116 SE 92ND AVE, PORTLAND, OR 97266",1,62225,"APEX ANODIZING","ANODIZING",332813,"ELECTROPLATING, PLATING, POLISHING, ANODI",0,"",15656,"IRIDITE 14-2","CHROMIUM TRIOXIDE","20-49","20-49","POUNDS","CAN","Poisonous Material","Oxidizers",1,969,"26-0189"
